Nom cours,Discipline I,Discipline Ia,Discipline II,Discipline Iia,Description discipline,Description cours,Photo cours1,Photo cours2,Video,"Filtrer la colonne K ""infocours1"" de la table 3 sur ""Cours intitulé"" afin de remettre les bons noms de cours",,,,,,,,,,,,,,,,,,
Barre au sol,Danse,Barre au sol,Relaxation / Fitness,Danse Fitness,,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,,,,,,,,,,,,,,,,,
Barre au sol contemporaine,Danse,Barre au sol,Relaxation / Fitness,Danse Fitness,,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,,,,,,,,,,,,,,,,,
Danse classique,Danse,Classique,,,,"La danse classique, également connue sous le nom de ballet, est un genre de danse qui rassemble plusieurs techniques et mouvements spécifiques et gracieux. En outre, le ballet est le nom qui permet de faire allusion à la pièce musicale composée pour être interprétée par le biais de la danse. Cette danse est apparue pendant la Renaissance, à l’époque où les mariages et les évènements aristocratiques étaient célébrés avec des danseurs de la cour, lesquels montraient leurs adresses. Au fil du temps, les mouvements et les pas de danse se sont améliorés voire perfectionnés.

La danse classique exige :
- concentration du danseur
- précision
- et coordination.

L’entrainement est indispensable dans la mesure où la plupart des formes du ballet requièrent beaucoup de souplesse et d’élasticité. La tenue a un rôle fondamental dans la danse classique. Les danseurs portent des vêtements qui adhèrent bien au corps pour que leurs mouvements puissent être appréciés plus facilement. La femme porte un tutu (une jupette) et l’homme porte un justaucorps. Aux pieds, ils portent des chaussons techniques dont les embouts sont en tissu, en silicone ou en mousse pour réduire la douleur lorsqu’ils dansent sur les pointes.",,,,,,,,,,,,,,,,,,,,,,
Danse contemporaine,Danse,Contemporaine / Moderne,,,"La danse contemporaine est l'art de raconter une histoire avec ton corps. Elle peut emprunter tous les styles, car la danse est plurielle. Elle communique un message, une émotion… : c'est un rapport direct entre le danseur et ses spectateurs. Il est plutôt difficile de trouver une définition précise de ce qu’est la danse contemporaine !

Un petit éclaircissement s’impose toutefois sur la terminologie : en France, le terme « danse contemporaine » est utilisé pour désigner une esthétique propre à notre époque, alors que le terme « danse moderne » renvoie aux courants qui ont précédé la danse contemporaine (et qui étaient peu représentatifs en France) ; dans les autres pays, le terme « danse moderne » (modern dance) est utilisé uniquement.","La danse contemporaine est l'art de raconter une histoire avec ton corps. Elle peut emprunter tous les styles, car la danse est plurielle. Elle communique un message, une émotion… : c'est un rapport direct entre le danseur et ses spectateurs. Il est plutôt difficile de trouver une définition précise de ce qu’est la danse contemporaine !

Un petit éclaircissement s’impose toutefois sur la terminologie : en France, le terme « danse contemporaine » est utilisé pour désigner une esthétique propre à notre époque, alors que le terme « danse moderne » renvoie aux courants qui ont précédé la danse contemporaine (et qui étaient peu représentatifs en France) ; dans les autres pays, le terme « danse moderne » (modern dance) est utilisé uniquement.",,,,,,,,,,,,,,,,,,,,,,
Cunningham,Danse,Contemporaine / Moderne,,,"La danse contemporaine est l'art de raconter une histoire avec ton corps. Elle peut emprunter tous les styles, car la danse est plurielle. Elle communique un message, une émotion… : c'est un rapport direct entre le danseur et ses spectateurs. Il est plutôt difficile de trouver une définition précise de ce qu’est la danse contemporaine !

Un petit éclaircissement s’impose toutefois sur la terminologie : en France, le terme « danse contemporaine » est utilisé pour désigner une esthétique propre à notre époque, alors que le terme « danse moderne » renvoie aux courants qui ont précédé la danse contemporaine (et qui étaient peu représentatifs en France) ; dans les autres pays, le terme « danse moderne » (modern dance) est utilisé uniquement.","La ""technique Cunningham"", à la fois complexe, rigoureuse et épurée, possède une technique qui s’approche des mathématiques dans son exploration abstraite de tous les possibles du corps humain. Bras et jambes brassant l’air dans des directions contradictoires, mouvements de balancier du buste, la colonne vertébrale garde une verticalité classique malgré l’extrême liberté des mouvements.
Par ailleurs, Merce Cunningham est l’un des premiers chorégraphes à incorporer des mouvements de la vie courante à ses créations, s’inspirant au quotidien des étirements de ses chats, du transfert de poids opéré par un passant enjambant un trottoir ou même des limites de son propre corps vieillissant, contraint par l’arthrose : « Il faut tout observer, continuellement. Moi, je trouve du mouvement partout », confie-t-il.",,,,,,,,,,,,,,,,,,,,,,
Dancehall,Danse,Hip Hop / Dancehall,,,"Hip hop : culture qui regroupe quatre principaux modes d'expression :
- Le rap
- Le deejaying
- Le graffiti
- La breakdance
- Le beatbox, une sous-branche du hip hop, qui est affilié au rap et au deejaying.

Réunis dans les années 1970, ces disciplines donnèrent naissance à un réel état d’esprit avec ses propres codes : des valeurs, des attitudes, un style vestimentaire et des cultures urbaines.

Dancehall : genre musical apparu en Jamaïque dans les années 80, découlant du reggae mais d'inspiration rap, dont le tempo peut être franchement rapide. Il privilégie la danse aux paroles conscientes. Les plus grands représentants de ce courant musical sont Elephant man en Jamaïque et Admiral T en France.
","Origines : le Dancehall (reggae) est originellement jamaïcain, découlant directement du reggae et qui tire son nom du Dancehall (la salle de danse ou salle de bal, en français) qui désigne le lieu où l'on danse à l'intérieur comme à l'extérieur. Il est né en Jamaïque au tout début des années 1980 (où il se confond avec le rub-a-dub jusqu'à la disparition de celui-ci en 1985) et s'est rapidement propagé dans les Antilles avant d'atteindre le reste des pays francophones.

Style musical : le style musical dancehall n'est pas précisément définissable. A l'origine, il s'agit de toute musique jouée dans un espace clos. Ce terme désigne plutôt une connotation de groupe, d'ambiance, de rassemblement. Ainsi, le dancehall peut aussi bien sonner digital ou hardcore que roots. Dans les années 1990, il a parfois été associé à un style qui s'est développé sur la base de la musique indienne (voir le riddim Bam Bam créé par Sly & Robbie) et du Hip-Hop.
La grande révolution du dancehall est l'arrivée des machines numériques sur l'île vers 1984/85. De nombreux compositeurs se sont mis à la composition audio-numérique (voir le riddim Sleng Teng de King Jammy).",,,,,,,,,,,,,,,,,,,,,,
Hip Hop,Danse,Hip Hop / Dancehall,,,"Hip hop : culture qui regroupe quatre principaux modes d'expression :
- Le rap
- Le deejaying
- Le graffiti
- La breakdance
- Le beatbox, une sous-branche du hip hop, qui est affilié au rap et au deejaying.

Réunis dans les années 1970, ces disciplines donnèrent naissance à un réel état d’esprit avec ses propres codes : des valeurs, des attitudes, un style vestimentaire et des cultures urbaines.

Dancehall : genre musical apparu en Jamaïque dans les années 80, découlant du reggae mais d'inspiration rap, dont le tempo peut être franchement rapide. Il privilégie la danse aux paroles conscientes. Les plus grands représentants de ce courant musical sont Elephant man en Jamaïque et Admiral T en France.
","Issu des ghettos noirs américains, le Hip Hop repose sur un mélange de plusieurs techniques de danses (break, smurf, popping), la rotation et l’ondulation du corps. C'est est un mouvement culturel et musical américain apparu dans les années 1970. Ce mouvement se décline sous plusieurs formes : musiques, danses, look... Ce mouvement s'est propagé et a évolué. On en retrouve dans le rap, ou encore le slam. Il est très apprécié des jeunes qui retrouvent dans ces diverses expressions une identité commune.",,,,,,,,,,,,,,,,,,,,,,
Housedance,Danse,Hip Hop / Dancehall,,,,"La House Dance est née en 1982, par le biais de danseurs hip-hop new-yorkais qui fréquentaient une boîte de nuit underground et mythique appelée ""The Garage"". Il avaient différents styles mais celui qui a le plus influencé était le ""Loftim"". C'est un style de danse avec des mouvements coulants et très gracieux. Il est aussi constitué de puissantes phases aériennes, de plongeons et de nombreuses autres combinaisons.

Lorsque vous observez un danseur de House, ses mouvements vous font penser à de nombreuses danses, il vous est possible à la fois de les assimiler aux danses de ballets, au Moderne, aux Claquettes, au LindyHop, au Jazz, ou au Funk. Contrairement aux autres formes de danse, la House Dance a su mélanger les formes de danses underground de nombreuses cultures, comme les danses de culture afro-brésilienne, afro-dominicaine ou africaine. Les pionniers de la House Dance new-yorkaise ont été jusqu'à faire des recherches pour retrouver des danses ""afro""qui étaient, pour beaucoup, passées dans l'oubli puis ils y ont mélangé leurs propres idées avec du Lofting, du Hoofin, et du Lindyhop, et pour certains de la Capoeira.",,,,,,,,,,,,,,,,,,,,,,
Jazz,Danse,Jazz / Modern' Jazz,,,"La danse jazz ou modern'jazz est un mélange de feeling, de spontanéité, d’expression de sentiments, de vivacité, de contraste. C’est le métissage par excellence. Elle ne se pratique pas sur la musique « jazz » : elle se pratique sur les musiques modernes que l’on veut, elle repose sur la rythmique, les percussions.

Elle se danse autant sur les tubes radio du jour que sur des airs de comédie musicale style Broadway (cherchez Bob Fosse !) ou sur des percussions africaines. Elle comporte des positions de base et des pas codifiés, comme en danse classique, dont la bonne maîtrise est essentielle, mais pas que : elle est aussi ouverte à l’improvisation et à la création de ses propres mouvements, exprimant l’émotion que le danseur souhaite faire passer.

La danse jazz est difficile à définir car elle englobe une infinité d’influences, elle se réinvente à chaque création. Elle est tellement métissée que certains professeurs préfèrent parler de danse « free style » !",,,,,,,,,,,,,,,,,,,,,,,
Afro Tonic,Danse,Tonic,Relaxation / Fitness,Danse Fitness,"La Danse Fitness permet de se familiariser avec son corps et d'apprendre à s'exprimer au rythme de la musique, mais surtout de s'amuser en bougeant !

C'est une excellente manière d'approcher le monde de l'expression corporelle, pour les personnes attirées par la danse mais débutantes et parfois inhibées. Pas de problème de niveau dans cette discipline, tout le monde peut se lancer ! Il n'est en aucun cas nécessaire d'avoir pratiqué une activité rythmique ou dansée pour se lancer dans la Danse Fitness.","Un nouveau style, un nouveau courant de fitness vous est désorrmais proposé. L'Afro Tonic vous fera bouger et vibrer sous fond de rythme africain, caribéen, R&B, house, disco, funk, soul.... Un cocktail de danses et de musiques ""Afro"" pour le meilleur de votre forme !
Energique, dynamique et tonifiant, ce nouveau courant ne vous laissera pas indifférent. A essayer au plus vite !",,,,,,,,,,,,,,,,,,,,,,
Boxe Tonic,Danse,Tonic,Relaxation / Fitness,Danse Fitness,,"Retrouvez la forme et votre combativité ! Le cours de Boxe Tonic est un moyen efficace pour brûler les calories et sculpter 
votre corps. Apprenez de nombreux enchaînements de boxe en musique. Toute les techniques de combat pieds/poings sans risque, sans coups et en toute sécurité.",,,,,,,,,,,,,,,,,,,,,,
Zumba®,Danse,Zumba®,Relaxation / Fitness,Danse Fitness,,"Êtes-vous prêt à faire la fête pour être en forme ? La Zumba est un cours ludique de danses latines et chorégraphies simples pour tonifier et remodeler son corps sur des rythmes caraïbéens. C'est une fête de fitness et de danse latine exaltante, efficace, facile à suivre, pour brûler des calories et emmener des millions de personnes vers la joie et la santé.

La Zumba® est le seul programme de danse-fitness d’inspiration latine qui allie une musique internationale torride, composée par des producteurs récompensés par des Grammy, et des pas de danse contagieux pour créer une ""fitness-party"" dont vous ne pourrez plus vous passer. Depuis ses débuts en 2001, le programme Zumba s’est développé pour devenir le programme de danse et de fitness le plus important et le plus populaire du monde. Plus de 14 millions de personnes de toutes tailles, de tous âges et de toutes corpulences suivent des cours de Zumba chaque semaine, dans plus de 140 000 endroits répartis dans quelque 150 pays.",,,,,,,,,,,,,,,,,,,,,,
