Nom structure,Type cours,Nom cours,Jour de la semaine,Heure du début,Heure de fin,Durée,Age1,Age2,Age3,Nom Prof,Info cours1,Info cours2,Niveau1,Niveau2,Age min.,Age max.,Cours individuel / particulier,Cours pour handicapés,Récurrence,Pas cours pendant les vacances scolaires,Date début,Date fin,Stage : J1 (ou cours à plusieurs jours),Heure de début J1,Durée J1,Stage : J2,Heure de début J2,Durée J2,Stage : J3,Heure de début J3,Durée J3,Stage : J4,Heure de début J4,Durée J4,Stage : J5,Heure de début J5,Durée J5,Adhésion / inscription annuelle obligatoire ?,Prix (à p. de) adhésion/inscription annuelle adultes,Prix (à p. de) adhésion/inscription annuelle enfants,Info adhésion / inscription,Gratuit,Prix cours individuel / stage (adhésion obligatoire ou non),Prix cours annuel (1 cours / semaine),Forfait : 2 cours / semaine,Prix cours par semestre,Prix cours par trimestre,Prix cours par mois,Prix carnet 5 cours,Durée validité carnet 5 cours (en nbre de mois),Prix carnet 10 cours,Durée validité carnet 10 cours (en nbre de mois),Prix carnet 20 cours,Durée validité carnet 20 cours,Prix carnet 30 cours,Durée validité carnet 30 cours,Prix carnet 40 cours,Durée validité carnet 40 cours,Prix carnet 50 cours,Durée validité carnet 50 cours,Nbre de cours : XX,Prix carnet XX cours,Durée validité carnet XX cours ,Nbre de cours : YY,Prix carnet YY cours,Durée validité carnet YY cours,Nbre de cours : ZZ,Prix carnet ZZ cours,Durée validité carnet ZZ cours,Carte illimitée,Durée validité carte illimitée,Cours exclus de la carte illimitée,Info prix1,Info prix2,Promo,Tarif étudiant,Tarif jeunes / seniors,Tarif demandeur d'emploi,Tarif RSA / bas revenus,Tarif famille nombreuse,Prix dégressif à p. de 2 cours,Tarif couple,Autres tarifs préférentiels,Offre exceptionnelle,Prix cours d'essai,Détail,Clé prix
Deep Side Center,Cours,Afro Tonic,Lundi,7:30 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",1623
Deep Side Center,Cours,Zumba®,Lundi,8:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Mardi,6:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Mardi,7:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Mardi,8:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba® Party,Mardi,9:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Afro Tonic,Mercredi,7:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Mercredi,8:00 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Jeudi,6:30 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
Deep Side Center,Cours,Zumba®,Jeudi,8:30 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",
